City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
148,avarua,-21.2078,-159.775,29.03,79,40,3.6,CK,1737586686
149,yuzhno-kurilsk,44.0306,145.8556,-2.02,84,79,2.98,RU,1737586687
150,iskateley,67.6803,53.1512,-19.94,96,98,4.21,RU,1737586688
151,fort st. john,56.2499,-120.8529,-0.06,59,100,6.69,CA,1737586632
152,namibe,-15.1961,12.1522,21.9,76,100,2.97,AO,1737586690
153,san rafael,-34.6177,-68.3301,34.33,18,1,8.6,AR,1737586628
154,anadyr,64.75,177.4833,-11.72,85,75,11.0,RU,1737586692
155,portland,45.5234,-122.6762,10.65,54,20,2.24,US,1737586641
156,hermanus,-34.4187,19.2345,22.11,74,100,1.11,ZA,1737586694
157,tezu,27.9167,96.1667,18.28,44,74,1.24,IN,1737586695
158,raduzhny,62.0961,77.475,-24.26,82,100,9.07,RU,1737586696
159,port blair,11.6667,92.75,21.02,94,7,1.03,IN,1737586697
160,lebu,-37.6167,-73.65,16.6,73,22,2.2,CL,1737586698
161,gillette,44.2911,-105.5022,-5.53,87,100,8.75,US,1737586700
162,saint-martin-de-crau,43.6395,4.8127,12.23,82,100,2.57,FR,1737586701
163,soe,-9.8607,124.284,20.73,90,97,0.83,ID,1737586702
164,saldanha,-33.0117,17.9442,18.72,94,77,1.36,ZA,1737586704
165,smithers,54.7804,-127.1743,-1.82,74,100,1.03,CA,1737586705
166,piti village,13.4626,144.6933,29.03,81,20,5.14,GU,1737586706
167,dipayal,29.2608,80.94,11.72,55,3,1.82,NP,1737586707
168,klyuchi,52.2667,79.1667,-18.73,90,100,7.03,RU,1737586708
169,makubetsu,45.3714,141.8211,-2.82,89,99,2.98,JP,1737586709
170,campo alegre,-9.7819,-36.3508,24.15,81,16,4.49,BR,1737586710
171,kasane,-17.8167,25.15,18.03,98,90,1.68,BW,1737586711
172,utrik,11.2278,169.8474,26.43,78,42,8.87,MH,1737586712
173,fale old settlement,-9.3852,-171.2468,27.97,76,12,6.17,TK,1737586713
174,kavaratti,10.5669,72.642,27.49,70,11,4.29,IN,1737586714
175,karratha,-20.7377,116.8463,27.94,79,3,5.21,AU,1737586715
176,tarquinia,42.2482,11.7553,11.0,99,82,6.51,IT,1737586716
177,tiksi,71.6872,128.8694,-36.66,98,97,3.63,RU,1737586717
178,santo antonio do ica,-3.1022,-67.9397,27.47,69,81,1.73,BR,1737586718
179,gazojak,41.1875,61.4036,-2.91,29,1,3.56,TM,1737586719
180,fisterra,42.9049,-9.2629,11.8,70,42,8.37,ES,1737586721
181,tadine,-21.55,167.8833,25.77,72,100,1.9,NC,1737586722
182,west island,-12.1568,96.8225,25.99,73,56,3.09,CC,1737586723
183,praia da vitoria,38.7333,-27.0667,11.14,87,20,2.35,PT,1737586724
184,lata,40.1629,-8.3327,14.72,92,96,1.05,PT,1737586725
185,acapulco de juarez,16.8634,-99.8901,24.74,67,0,3.52,MX,1737586726
186,moissala,8.3404,17.7663,26.25,21,75,2.24,TD,1737586727
187,yeppoon,-23.1333,150.7333,30.76,61,3,2.05,AU,1737586728
188,new norfolk,-42.7826,147.0587,14.95,50,96,1.22,AU,1737586729
189,port augusta,-32.5,137.7667,24.41,53,96,5.1,AU,1737586731
190,kantabanji,20.4833,82.9167,16.6,37,36,0.53,IN,1737586732
191,gulf shores,30.246,-87.7008,3.34,56,6,0.45,US,1737586733
192,wotho,10.1657,166.0102,27.11,74,100,10.51,MH,1737586734
193,east london,-33.0153,27.9116,23.66,88,96,9.16,ZA,1737586735
194,happy valley-goose bay,53.3168,-60.3315,-22.83,54,20,4.12,CA,1737586736
195,kununurra,-15.7667,128.7333,27.99,83,89,1.54,AU,1737586737
196,kilis,36.7161,37.115,3.35,76,100,3.37,TR,1737586738
197,st. john's,47.5649,-52.7093,-8.8,68,75,5.66,CA,1737586739
198,pitiquito,30.7,-112.0833,23.27,4,100,2.87,MX,1737586741
199,hryhoriopol,47.1536,29.2964,4.42,98,100,0.59,MD,1737586742
200,puerto yuca,2.9383,-73.2083,28.29,43,4,1.37,CO,1737586743
201,bikenibeu village,1.3673,173.1241,27.98,78,20,5.14,KI,1737586744
202,casale monferrato,45.1334,8.4571,5.08,98,100,1.18,IT,1737586745
203,bukene,-4.2333,32.8833,17.56,97,98,2.98,TZ,1737586746
204,tolanaro,-25.0319,46.9987,24.04,94,75,7.2,MG,1737586747
205,prado,-17.3411,-39.2208,26.03,89,0,4.48,BR,1737586748
206,bardai,11.65,7.2333,20.75,24,24,4.18,NG,1737586749
207,wynyard,-41.0,145.7167,16.22,84,100,4.02,AU,1737586628
208,port lincoln,-34.7333,135.8667,19.03,61,100,6.07,AU,1737586751
209,manado,1.487,124.8455,24.93,91,93,0.74,ID,1737586752
210,cole harbour,44.6724,-63.4751,-11.14,52,52,5.81,CA,1737586753
211,'ain el melh,34.8415,4.1638,8.37,49,66,1.96,DZ,1737586754
212,kailua-kona,19.6406,-155.9956,26.98,65,0,5.14,US,1737586755
213,mount isa,-20.7333,139.5,30.87,55,75,4.12,AU,1737586756
214,constitucion,-35.3333,-72.4167,15.97,75,4,4.84,CL,1737586757
215,verkhnevilyuysk,63.4453,120.3167,-6.48,92,100,3.3,RU,1737586758
216,new kingman-butler,35.265,-114.0323,15.43,7,1,2.24,US,1737586759
217,nasiriyah,31.0521,46.261,13.18,31,100,1.85,IQ,1737586760
218,naryshkino,52.9678,35.7268,-2.1,37,100,5.77,RU,1737586761
219,hamilton,39.1834,-84.5333,-6.03,46,20,5.36,US,1737586762
220,orcopampa,-15.2661,-72.3417,7.03,95,100,2.64,PE,1737586763
221,ha giang,22.8333,104.9833,15.22,89,90,0.3,VN,1737586765
222,codrington,-38.2667,141.9667,15.93,61,100,3.27,AU,1737586766
223,qusmuryn,52.4503,64.6311,-22.96,86,53,5.51,KZ,1737586768
224,fort mcmurray,56.7268,-111.381,-4.23,80,100,3.6,CA,1737586769
225,usinsk,65.9939,57.5281,-24.71,96,67,5.32,RU,1737586770
226,gambiran satu,-8.3939,114.1464,22.49,100,100,0.45,ID,1737586771
227,zaysan,47.4667,84.8667,-11.0,93,100,0.67,KZ,1737586773
228,gilgit,35.9221,74.3087,-3.56,60,94,1.58,PK,1737586774
229,el porvenir,13.7617,-87.3458,28.09,53,30,3.43,HN,1737586775
230,i-n-salah,27.1935,2.4607,16.09,15,36,0.73,DZ,1737586776
231,bubaque,11.2833,-15.8333,24.31,69,6,7.34,GW,1737586777
232,minas de marcona,-15.2119,-75.1103,18.18,76,78,7.32,PE,1737586778
233,tura,25.5198,90.2201,13.04,93,1,1.22,IN,1737586779
234,guiuan,11.0333,125.7247,27.05,83,100,5.93,PH,1737586780
235,kerikeri,-35.2268,173.9474,26.06,63,8,1.34,NZ,1737586781
236,guangyuan,32.442,105.823,10.15,91,100,0.62,CN,1737586782
237,mathba,22.2855,89.9629,15.37,60,4,2.33,BD,1737586783
238,mohr,54.3528,9.7167,2.08,93,100,3.6,DE,1737586785
239,taltal,-25.4,-70.4833,20.24,71,26,1.98,CL,1737586786
240,challapata,-18.9,-66.7667,13.5,57,99,2.74,BO,1737586787
241,hampton bays,40.869,-72.5176,-7.3,50,0,2.68,US,1737586788
242,ciudad lazaro cardenas,17.9583,-102.2,27.43,56,0,3.73,MX,1737586741
243,mejit,10.2753,170.8646,26.6,77,38,9.15,MH,1737586790
244,parham,17.0968,-61.7705,25.83,100,75,6.69,AG,1737586791
245,les cayes,18.2,-73.75,24.33,76,5,2.31,HT,1737586792
246,pauini,-7.7136,-66.9764,23.32,96,70,1.1,BR,1737586793
247,caldwell,43.6629,-116.6874,4.71,43,0,2.57,US,1737586564
248,benalla,-36.55,145.9833,22.43,45,83,3.11,AU,1737586795
249,sao vicente,-23.9631,-46.3919,26.66,26,94,1.26,BR,1737586796
250,qaqortoq,60.7167,-46.0333,-8.02,95,100,2.45,GL,1737586797
251,'alaqahdari dishu,30.4374,63.313,5.42,60,0,4.16,AF,1737586798
252,banes,20.9625,-75.7186,23.44,82,100,1.91,CU,1737586799
253,dolores,-36.3132,-57.6792,23.51,52,0,6.85,AR,1737586800
254,hillvue,-31.1244,150.915,27.95,47,20,7.72,AU,1737586801
255,dongcun,36.7767,121.1597,-0.63,61,0,1.83,CN,1737586802
256,yellowknife,62.456,-114.3525,-10.88,99,75,7.2,CA,1737586803
257,divnogorsk,55.9594,92.3619,-8.73,71,93,7.25,RU,1737586804
258,vilyuysk,63.7553,121.6247,-5.54,95,100,3.24,RU,1737586805
259,muscatine,41.4667,-91.1335,-2.31,59,100,6.17,US,1737586806
